epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.527,1.23255,2.28975,1.03083,0.68542,0.32055,0.30166,0.19983,1.01986,1.59459,0.9684,0.000369584,0.000369584,0.000369584
2,841.81,1.11721,1.49634,0.99565,0.35013,0.39587,0.37963,0.24164,1.09639,1.41594,0.99075,0.000666665,0.000666665,0.000666665
3,1230.68,1.10278,1.34189,1.01247,0.5086,0.50773,0.45322,0.29786,0.99717,1.28753,0.98018,0.000890421,0.000890421,0.000890421
4,1617.33,1.07654,1.20696,1.00596,0.45908,0.4545,0.43796,0.29014,0.97159,1.18429,0.96251,0.000781033,0.000781033,0.000781033
5,2062.35,1.07217,1.09434,0.98604,0.45795,0.57757,0.49338,0.30861,0.97869,1.10394,0.97087,0.000671044,0.000671044,0.000671044
6,2522.5,1.02141,1.03888,0.97552,0.56346,0.68519,0.58857,0.39697,0.9124,0.92912,0.9439,0.000561055,0.000561055,0.000561055
7,2992.2,0.98626,0.93128,0.95865,0.55296,0.65553,0.59473,0.38395,0.93365,0.91182,0.95474,0.000451066,0.000451066,0.000451066
8,3534.41,0.95675,0.87647,0.95138,0.69106,0.60906,0.64055,0.42956,0.87379,0.85888,0.9235,0.000341077,0.000341077,0.000341077
9,11705.4,0.93615,0.83574,0.9403,0.61898,0.67348,0.62552,0.42603,0.84509,0.79992,0.91526,0.000231088,0.000231088,0.000231088
10,12241.4,0.90855,0.78482,0.9287,0.66017,0.61716,0.64766,0.44178,0.84492,0.763,0.91724,0.000121099,0.000121099,0.000121099
