epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.823,1.3127,3.09212,1.62761,0.57795,0.21803,0.21287,0.13136,1.34062,2.19789,1.90017,0.000369959,0.000369959,0.000369959
2,958.55,1.41922,2.23433,1.76188,0.59928,0.25728,0.25136,0.15467,1.4015,1.87742,1.92898,0.000725634,0.000725634,0.000725634
3,1460.97,1.40001,2.02656,1.7547,0.82962,0.23228,0.27973,0.17605,1.28566,1.72672,1.74858,0.00106664,0.00106664,0.00106664
4,2015.16,1.33287,1.90868,1.67844,0.64802,0.33869,0.33333,0.21127,1.16263,1.61696,1.62657,0.00104501,0.00104501,0.00104501
5,2413.43,1.28496,1.78079,1.64631,0.64862,0.35366,0.33923,0.23377,1.14069,1.45024,1.62246,0.00102301,0.00102301,0.00102301
6,2811.58,1.25907,1.628,1.60846,0.70813,0.31364,0.34868,0.23755,1.07362,1.32782,1.5837,0.00100101,0.00100101,0.00100101
7,3209.42,1.19693,1.62127,1.54313,0.69674,0.34562,0.37901,0.25663,1.07937,1.37481,1.53693,0.000979013,0.000979013,0.000979013
8,3607.06,1.14558,1.52775,1.50451,0.68591,0.38736,0.35902,0.24755,1.04312,1.26464,1.51555,0.000957015,0.000957015,0.000957015
9,4004.94,1.16863,1.41202,1.51916,0.52232,0.46815,0.42388,0.29661,0.9777,1.17553,1.45482,0.000935018,0.000935018,0.000935018
10,4402.68,1.09382,1.32446,1.45325,0.58707,0.43018,0.42413,0.30053,0.9992,1.1647,1.43788,0.00091302,0.00091302,0.00091302
11,4800.65,1.10673,1.32131,1.47495,0.59989,0.45936,0.44797,0.31179,0.97234,1.10995,1.42586,0.000891022,0.000891022,0.000891022
12,5198.87,1.06359,1.27424,1.42562,0.39115,0.55002,0.4682,0.33229,0.93961,1.03627,1.40426,0.000869024,0.000869024,0.000869024
13,5597.1,1.07671,1.21782,1.45147,0.69133,0.50579,0.52617,0.37743,0.929,0.98118,1.39516,0.000847026,0.000847026,0.000847026
14,5995.3,1.04951,1.25692,1.42504,0.60541,0.48177,0.49147,0.35204,0.91935,0.98174,1.38945,0.000825029,0.000825029,0.000825029
15,6393.67,1.05162,1.2162,1.40617,0.57071,0.55012,0.49066,0.3507,0.92816,0.99279,1.38016,0.000803031,0.000803031,0.000803031
16,6791.86,1.03614,1.1925,1.39474,0.54624,0.56649,0.5704,0.40242,0.93415,0.92279,1.4041,0.000781033,0.000781033,0.000781033
17,7190.02,1.00366,1.1205,1.36048,0.50281,0.58272,0.57173,0.42134,0.86754,0.88795,1.31985,0.000759035,0.000759035,0.000759035
18,7588.23,1.01337,1.0957,1.39508,0.52449,0.62881,0.57254,0.40495,0.8805,0.87957,1.33146,0.000737037,0.000737037,0.000737037
19,7986.41,0.99178,1.09327,1.36669,0.5414,0.63432,0.59306,0.42415,0.87656,0.89893,1.32743,0.00071504,0.00071504,0.00071504
20,8384.39,0.96942,1.05077,1.33679,0.45836,0.59249,0.53573,0.38955,0.88478,0.89287,1.33548,0.000693042,0.000693042,0.000693042
21,8782.44,0.95483,1.02573,1.33434,0.58813,0.58477,0.59071,0.42993,0.85619,0.86943,1.31566,0.000671044,0.000671044,0.000671044
22,9180.62,0.97739,1.02041,1.35707,0.6239,0.61377,0.59571,0.42566,0.89964,0.8193,1.35976,0.000649046,0.000649046,0.000649046
23,9578.87,0.95192,0.9878,1.33017,0.55236,0.59648,0.56925,0.40575,0.8648,0.86302,1.3279,0.000627048,0.000627048,0.000627048
24,9977.27,0.93925,0.97652,1.33327,0.61293,0.61163,0.62825,0.45723,0.84839,0.79104,1.31082,0.000605051,0.000605051,0.000605051
25,10375.7,0.92378,0.94073,1.30803,0.63174,0.58839,0.62357,0.45859,0.8475,0.803,1.30507,0.000583053,0.000583053,0.000583053
26,10773.7,0.95241,0.95025,1.32202,0.57129,0.62331,0.57978,0.42323,0.84213,0.81923,1.30558,0.000561055,0.000561055,0.000561055
27,11171.8,0.92246,0.95228,1.31048,0.61384,0.62826,0.64699,0.47335,0.82973,0.76975,1.2966,0.000539057,0.000539057,0.000539057
28,11570.2,0.9127,0.91811,1.30008,0.5947,0.62364,0.62002,0.45991,0.82947,0.77467,1.29041,0.000517059,0.000517059,0.000517059
29,11968.4,0.90372,0.88252,1.30152,0.57617,0.56849,0.58786,0.43086,0.82791,0.76712,1.28803,0.000495062,0.000495062,0.000495062
30,12366.4,0.91667,0.87872,1.29119,0.67514,0.63143,0.67897,0.48997,0.82035,0.70281,1.27215,0.000473064,0.000473064,0.000473064
31,12765,0.89961,0.87516,1.29782,0.69728,0.61628,0.68647,0.51084,0.81642,0.71449,1.27124,0.000451066,0.000451066,0.000451066
32,13163.2,0.89838,0.84778,1.2703,0.70668,0.61579,0.67209,0.49216,0.80759,0.72005,1.25606,0.000429068,0.000429068,0.000429068
33,13561.3,0.86514,0.80462,1.25785,0.66881,0.65374,0.69023,0.50618,0.81362,0.6825,1.26528,0.00040707,0.00040707,0.00040707
34,455.375,0.86347,0.82405,1.24762,0.61738,0.68786,0.66043,0.48561,0.81875,0.71162,1.2824,0.000385073,0.000385073,0.000385073
35,906.451,0.85421,0.77932,1.25646,0.70114,0.63392,0.67306,0.50064,0.7986,0.65878,1.25486,0.000363075,0.000363075,0.000363075
36,1472.07,0.86024,0.78641,1.25737,0.6692,0.64557,0.6901,0.51373,0.79635,0.65037,1.25258,0.000341077,0.000341077,0.000341077
37,2130.8,0.85226,0.80439,1.25067,0.73234,0.62967,0.70318,0.52239,0.79275,0.63238,1.25313,0.000319079,0.000319079,0.000319079
38,2806.03,0.84039,0.78264,1.23996,0.69472,0.65536,0.67472,0.50076,0.79505,0.66176,1.25727,0.000297081,0.000297081,0.000297081
39,512.617,0.78984,0.69546,1.18876,0.70008,0.67278,0.68965,0.5159,0.78833,0.63775,1.24488,0.000275084,0.000275084,0.000275084
40,908.485,0.77622,0.65012,1.19142,0.68154,0.66491,0.69716,0.52062,0.78862,0.62488,1.24443,0.000253086,0.000253086,0.000253086
41,1297.09,0.78724,0.62869,1.23821,0.76539,0.62677,0.72472,0.54164,0.77971,0.60821,1.2447,0.000231088,0.000231088,0.000231088
42,1685.83,0.77223,0.60624,1.2279,0.62697,0.71832,0.70431,0.53243,0.7672,0.59995,1.22401,0.00020909,0.00020909,0.00020909
43,2074.38,0.76848,0.59552,1.21878,0.69597,0.69951,0.73615,0.55659,0.75582,0.57606,1.21585,0.000187092,0.000187092,0.000187092
44,2462.82,0.75548,0.581,1.204,0.71783,0.70473,0.73203,0.54277,0.77491,0.58819,1.23371,0.000165095,0.000165095,0.000165095
45,2852.11,0.74435,0.57302,1.20258,0.69465,0.66548,0.71509,0.54184,0.75837,0.59779,1.22453,0.000143097,0.000143097,0.000143097
46,3241.22,0.7564,0.57426,1.20632,0.68964,0.70431,0.72669,0.54455,0.76056,0.58446,1.21998,0.000121099,0.000121099,0.000121099
47,3630.74,0.74176,0.56215,1.19062,0.71144,0.71476,0.7243,0.54251,0.75764,0.57156,1.21741,9.91012e-05,9.91012e-05,9.91012e-05
48,4020.1,0.7249,0.54704,1.17538,0.736,0.69526,0.73893,0.54899,0.75563,0.55781,1.2125,7.71034e-05,7.71034e-05,7.71034e-05
49,4409.75,0.72448,0.54532,1.18411,0.70653,0.70826,0.73732,0.55018,0.75541,0.56629,1.21595,5.51056e-05,5.51056e-05,5.51056e-05
50,583.651,0.71906,0.53087,1.16855,0.68194,0.72849,0.73323,0.55295,0.75414,0.55843,1.21683,3.31078e-05,3.31078e-05,3.31078e-05
